time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)
943.671,34.5,100.0,0.0
944.794,34.5,100.0,0.0

945.912,34.5,100.0,0.0
947.034,34.5,100.0,0.0
948.152,34.5,100.0,0.0
949.274,34.5,100.0,0.0
950.398,34.5,100.0,0.0
951.515,34.5,100.0,0.0
952.633,34.5,100.0,0.0
953.751,34.5,100.0,0.0

954.873,34.5,100.0,0.0
955.991,34.5,100.0,0.0
957.114,34.5,100.0,0.0
958.232,34.5,100.0,0.0
959.354,34.5,100.0,0.0
960.472,34.5,100.0,0.0
961.595,34.5,100.0,0.0
962.714,34.5,100.0,0.0
963.835,34.5,100.0,0.0

964.953,34.5,100.0,0.0
966.075,34.5,100.0,0.0
