time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)
221.203,30.0,100.0,0.0
222.324,30.0,100.0,0.0
223.442,30.0,100.0,0.0
224.565,30.0,100.0,0.0
225.682,30.0,100.0,0.0
226.804,30.0,100.0,0.0
227.922,30.0,100.0,0.0

229.044,30.0,100.0,0.0
230.163,30.0,100.0,0.0
231.281,30.0,100.0,0.0
232.404,30.0,100.0,0.0
233.522,30.0,100.0,0.0
234.644,30.0,100.0,0.0
235.762,30.0,100.0,0.0
236.887,30.0,100.0,0.0

238.002,30.0,100.0,0.0
239.125,30.0,100.0,0.0
240.243,30.0,100.0,0.0
241.366,30.0,100.0,0.0
242.483,30.0,100.0,0.0
243.605,30.0,100.0,0.0
244.724,30.0,100.0,0.0
245.846,30.0,100.0,0.0
246.964,30.0,100.0,0.0

248.082,30.0,100.0,0.0
249.205,30.0,100.0,0.0
250.324,30.0,100.0,0.0
251.445,30.0,100.0,0.0
252.563,30.0,100.0,0.0
253.685,30.0,100.0,0.0
254.804,30.5,100.0,0.0
255.925,30.5,100.0,0.0

257.044,30.5,100.0,0.0
258.17,30.5,100.0,0.0
259.284,30.5,100.0,0.0
260.407,30.5,100.0,0.0
261.525,30.5,100.0,0.0
262.648,30.5,100.0,0.0
263.765,30.5,100.0,0.0
264.887,30.5,100.0,0.0
266.006,30.5,100.0,0.0

267.128,30.5,100.0,0.0
268.246,30.5,100.0,0.0
269.364,30.5,100.0,0.0
270.486,30.5,100.0,0.0
271.605,30.5,100.0,0.0
272.727,30.5,100.0,0.0
273.845,30.5,100.0,0.0
274.969,30.5,100.0,0.0

276.096,30.5,100.0,0.0
277.208,30.5,100.0,0.0
278.326,30.5,100.0,0.0
279.448,30.5,100.0,0.0
280.569,30.5,100.0,0.0
281.693,30.5,100.0,0.0
282.807,30.5,100.0,0.0
283.929,30.5,100.0,0.0

285.047,30.5,100.0,0.0
286.169,30.5,100.0,0.0
287.287,30.5,100.0,0.0
288.406,30.5,100.0,0.0
289.528,30.5,100.0,0.0
290.646,30.5,100.0,0.0
291.769,30.5,100.0,0.0
292.887,30.5,100.0,0.0
294.009,30.5,100.0,0.0

295.127,30.5,100.0,0.0
296.249,30.5,100.0,0.0
297.368,30.5,100.0,0.0
298.49,30.5,100.0,0.0
299.608,30.5,100.0,0.0
300.73,30.5,100.0,0.0
301.848,30.5,100.0,0.0
302.971,30.5,100.0,0.0

304.089,30.5,100.0,0.0
305.211,30.5,100.0,0.0
306.329,30.5,100.0,0.0
307.451,30.5,100.0,0.0
308.57,30.5,100.0,0.0
309.688,30.5,100.0,0.0
310.81,30.5,100.0,0.0
311.928,30.5,100.0,0.0
313.05,30.5,100.0,0.0

314.169,30.5,100.0,0.0
315.292,30.5,100.0,0.0
316.409,30.5,100.0,0.0
317.531,30.5,100.0,0.0
318.649,30.5,100.0,0.0
319.772,30.5,100.0,0.0
320.89,30.5,100.0,0.0
322.012,30.5,100.0,0.0

